user_id;beta0;beta1;beta2
u:gv7g;11.406461392802782;-0.12340503403719534;-0.12753744174931952
u:gw5o;12.747715144271519;-0.06096919159369226;0.019522290459230793
u:gwAO;12.249896678187987;-0.044633479847763884;0.17689754351208534
u:gyaZ;8.750260724465113;-0.0727554310052822;-0.13866500662277326
u:h0o6;11.566005892101282;-0.10705053591465424;-0.234758130379723
u:h0q6;10.988406249829426;-0.009269675459103935;-0.1305124552213843
u:h1NI;12.102238259031692;-0.09776243901281599;-0.009421647691693557
u:h2CV;11.76713102237863;-0.11271297694210627;-0.11068135051495044
u:h2_R;11.888606826017313;-0.09443792524379521;-0.06335879685027278
u:h2_r;11.449040623553532;-0.07438391072535791;-0.21309174518276439
u:h2dM;11.787999848441487;-0.09451221421129996;0.11170842265986701
u:h3PG;12.318191311695717;-0.08656222523559783;0.058356720937662414
u:h3cX;12.121731878377853;-0.1370005532187089;-0.4108192789332887
u:h4M_;12.35124785772811;-0.08750617399057187;0.07456071101050649
u:h4OQ;11.749182593222567;-0.1516878394517383;-0.3576458129765517
u:h4X;12.378650787419323;-0.03100631576152004;-0.09393610711379498
u:h7-9;10.847387265385379;-0.15206213215307304;-0.12617873718246794
u:h7K1;11.085927640202511;-0.12983248042059353;-0.1666761051248543
u:h82e;12.279873122448658;-0.0664089014148987;-0.05146371952253105
u:h8P0;12.042125865806671;-0.08261301072615754;-0.003808427280981141
u:h8Zh;6.267286820975861;-0.0037024863775277543;-0.3093763299569335
u:h8y5;11.485998997152835;-0.1573729466732857;0.09084463086247595
u:h902;7.642587309953644;-0.1519699971373625;-0.2585957160090886
u:h979;11.84140412795996;-0.05201742507179935;-0.0918007484751559
u:h9ya;13.03105890812576;-0.061603956632068406;0.1714144595356629
u:hB5o;6.298684362323005;0.07483531675148902;0.20584165517318878
u:hBBg;11.370261446056752;-0.1275685201193586;-0.02475936789826231
u:hC00;11.528761032145981;-0.12377135634761426;-0.09139977460061535
u:hCMs;11.989501021616105;-0.11905626685686184;-0.6368725210326608
u:hCRZ;11.135346165388196;-0.1377195647850983;-0.17810789168630492
u:hCqJ;6.043666955153286;-0.20303043108164925;-0.030522655668219083
u:hEFW;12.52502922301495;-0.08133437216238233;0.05741867003031605
u:hEgk;12.307551277888797;-0.1117412937227319;0.13916817497470663
u:hFSL;11.568232099417477;-0.07006210604426992;0.12763546548831653
u:hFW-;12.19400532458598;-0.0787684982758613;0.006412893665641997
u:hHM1;12.35763195376274;-0.06302103303594114;-0.1712486993554653
u:hHT1;13.56383818044817;-0.06830225737758801;0.09935522590592066
u:hHvg;11.91229339995582;-0.09205218978833757;0.08022365203194314
u:hHzq;11.65723565568503;-0.16069287800694138;0.3215319375712914
u:hJUY;11.503071737574505;-0.02980852668129706;0.09106933751556584
u:hJnW;10.211946444952847;-0.12616034508692678;0.1539680346532193
u:hK9y;13.478134196472162;-0.1113429604973488;-0.022093388678228187
u:hKc3;12.869148584526885;-0.12416096527636787;-0.1317035037462479
u:hKzb;11.495014743707385;-0.09711828148185016;-0.08293942095606537
u:hLfg;12.044900034593974;-0.1259311084105139;0.040288742449009506
u:hN9-;11.053344507359801;-0.012277884821589362;-0.3257619513808028
u:hNC9;12.40269454632219;-0.051029711466759595;0.09247327799452425
u:hNMI;11.122797045463734;-0.06940718021547725;0.07913076566533432
u:hNS1;12.268343452244713;-0.09561709064972854;-0.005474085230077651
u:hNbp;11.469213541582116;-0.07228511861944044;-0.0044814059982818495
u:hOx8;10.424965420989242;0.011655369587715401;-0.4059765534920362
u:hPQ8;12.410770101383838;-0.05692809233723097;-0.07052937492473016
u:hQ7X;12.49492782330272;-0.1192510789046736;0.13769301333897044
u:hQA9;6.956149508485281;-0.08478959968550945;-0.4521462691762918
u:hQcz;12.150130048234994;-0.013282013825205432;-0.16460721973396497
u:hQwl;11.593175186031916;-0.09278967196818882;-0.018422700647624437
u:hR_7;11.551477199622559;-0.09616938840278198;0.060137705333218744
u:hT_J;12.86268334937106;-0.10750862264869167;0.13372980844675897
u:hTzi;11.340326968746934;0.014678757840303062;-0.21306851821826575
u:hUVN;12.395104217938627;-0.11643077730523395;0.0576503602031306
u:hUXk;10.747741877757184;-0.11400441958548505;-0.0892493941844944
u:hWIZ;12.038271323487372;-0.08118620635924839;-0.1963507153367258
u:hX8h;12.740373348132046;-0.12495865433852801;0.046926404622172145
u:hXhu;12.301871207173347;-0.07709100877717388;0.1400594564871253
u:hY00;12.279499399652217;-0.08602802762920007;0.033496615286301545
u:hY5g;11.70865376196223;-0.0250178279742134;-0.05135731926721972
u:hYYc;12.760610876023954;-0.014328018189584119;-0.09994291187071823
u:hYns;12.154070069807576;-0.1187894972831483;0.1510681595968668
